species,scientific name,type,english name,english_name
Hydrobates pelagicus,Hydrobates pelagicus,Bird,Storm Petrel,Storm Petrel
Hydrocoloeus minutus,Hydrocoloeus minutus,Bird,Little Gull,Little Gull
Hydroprogne caspia,Hydroprogne caspia,Bird,Caspian Tern,Caspian Tern
Ichthyaetus ichthyaetus,Ichthyaetus ichthyaetus,Bird,Great Black-headed Gull,Great Black-headed Gull
Ichthyaetus melanocephalus,Ichthyaetus melanocephalus,Bird,Mediterranean Gull,Mediterranean Gull
Icterus galbula,Icterus galbula,Bird,Baltimore Oriole,Baltimore Oriole
Iduna aedon,Iduna aedon,Bird,Thick-billed Warbler,Thick-billed Warbler
Iduna caligata,Iduna caligata,Bird,Booted Warbler,Booted Warbler
Iduna pallida,Iduna pallida,Bird,Eastern Olivaceous Warbler,Eastern Olivaceous Warbler
Iduna rama,Iduna rama,Bird,Sykess Warbler,Sykess Warbler
Ixobrychus minutus,Ixobrychus minutus,Bird,Little Bittern,Little Bittern
Ixoreus naevius,Ixoreus naevius,Bird,Varied Thrush,Varied Thrush
Junco hyemalis,Junco hyemalis,Bird,Dark-eyed Junco,Dark-eyed Junco
Jynx torquilla,Jynx torquilla,Bird,Wryneck,Wryneck
Lagopus lagopus,Lagopus lagopus,Bird,Red Grouse,Red Grouse
Lagopus muta,Lagopus muta,Bird,Ptarmigan,Ptarmigan
Lanius collurio,Lanius collurio,Bird,Red-backed Shrike,Red-backed Shrike
Lanius cristatus,Lanius cristatus,Bird,Brown Shrike,Brown Shrike
Lanius excubitor,Lanius excubitor,Bird,Great Grey Shrike,Great Grey Shrike
Lanius isabellinus,Lanius isabellinus,Bird,Daurian Shrike,Daurian Shrike
Lanius minor,Lanius minor,Bird,Lesser Grey Shrike,Lesser Grey Shrike
Lanius nubicus,Lanius nubicus,Bird,Masked Shrike,Masked Shrike
Lanius phoenicuroides,Lanius phoenicuroides,Bird,Turkestan Shrike,Turkestan Shrike
Lanius schach,Lanius schach,Bird,Long-tailed Shrike,Long-tailed Shrike
Lanius senator,Lanius senator,Bird,Woodchat Shrike,Woodchat Shrike
Larus argentatus,Larus argentatus,Bird,Herring Gull,Herring Gull
Larus argentatus argenteus,Larus argentatus argenteus,Bird,Larus argentatus argenteus,Larus argentatus argenteus
Larus cachinnans,Larus cachinnans,Bird,Caspian Gull,Caspian Gull
Larus canus,Larus canus,Bird,Common Gull,Common Gull
Larus delawarensis,Larus delawarensis,Bird,Ring-billed Gull,Ring-billed Gull
Larus fuscus,Larus fuscus,Bird,Lesser Black-backed Gull,Lesser Black-backed Gull
Larus glaucescens,Larus glaucescens,Bird,Glaucous-winged Gull,Glaucous-winged Gull
Larus glaucoides,Larus glaucoides,Bird,Iceland Gull,Iceland Gull
Larus hyperboreus,Larus hyperboreus,Bird,Glaucous Gull,Glaucous Gull
Larus marinus,Larus marinus,Bird,Great Black-backed Gull,Great Black-backed Gull
Larus michahellis,Larus michahellis,Bird,Yellow-legged Gull,Yellow-legged Gull
Larus smithsonianus,Larus smithsonianus,Bird,American Herring Gull,American Herring Gull
Larvivora cyane,Larvivora cyane,Bird,Siberian Blue Robin,Siberian Blue Robin
Larvivora sibilans,Larvivora sibilans,Bird,Rufous-tailed Robin,Rufous-tailed Robin
Leiothlypis peregrina,Leiothlypis peregrina,Bird,Tennessee Warbler,Tennessee Warbler
Leucophaeus atricilla,Leucophaeus atricilla,Bird,Laughing Gull,Laughing Gull
Leucophaeus pipixcan,Leucophaeus pipixcan,Bird,Franklins Gull,Franklins Gull
Limnodromus griseus,Limnodromus griseus,Bird,Short-billed Dowitcher,Short-billed Dowitcher
Limnodromus scolopaceus,Limnodromus scolopaceus,Bird,Long-billed Dowitcher,Long-billed Dowitcher
Limosa haemastica,Limosa haemastica,Bird,Hudsonian Godwit,Hudsonian Godwit
Limosa lapponica,Limosa lapponica,Bird,Bar-tailed Godwit,Bar-tailed Godwit
Limosa lapponica lapponica,Limosa lapponica lapponica,Bird,Limosa lapponica lapponica,Limosa lapponica lapponica
Limosa limosa,Limosa limosa,Bird,Black-tailed Godwit,Black-tailed Godwit
Linaria cannabina,Linaria cannabina,Bird,Linnet,Linnet
Linaria flavirostris,Linaria flavirostris,Bird,Twite,Twite
Liocarcinus depurator,Liocarcinus depurator,Bird,Cleanser crab,Cleanser crab
Locustella fluviatilis,Locustella fluviatilis,Bird,River Warbler,River Warbler
Locustella lanceolata,Locustella lanceolata,Bird,Lanceolated Warbler,Lanceolated Warbler
Locustella luscinioides,Locustella luscinioides,Bird,Savis Warbler,Savis Warbler
Locustella naevia,Locustella naevia,Bird,Grasshopper Warbler,Grasshopper Warbler
Lophodytes cucullatus,Lophodytes cucullatus,Bird,Hooded Merganser,Hooded Merganser
Lophophanes cristatus,Lophophanes cristatus,Bird,Crested Tit,Crested Tit
Loxia curvirostra,Loxia curvirostra,Bird,Crossbill,Crossbill
Loxia leucoptera,Loxia leucoptera,Bird,Two-barred Crossbill,Two-barred Crossbill
Loxia pytyopsittacus,Loxia pytyopsittacus,Bird,Parrot Crossbill,Parrot Crossbill
Loxia scotica,Loxia scotica,Bird,Scottish Crossbill,Scottish Crossbill
Lullula arborea,Lullula arborea,Bird,Woodlark,Woodlark
Luscinia luscinia,Luscinia luscinia,Bird,Thrush Nightingale,Thrush Nightingale
Luscinia megarhynchos,Luscinia megarhynchos,Bird,Nightingale,Nightingale
Luscinia svecica,Luscinia svecica,Bird,Bluethroat,Bluethroat
Lymnocryptes minimus,Lymnocryptes minimus,Bird,Jack Snipe,Jack Snipe
Lyrurus tetrix,Lyrurus tetrix,Bird,Black Grouse,Black Grouse
Mareca americana,Mareca americana,Bird,American Wigeon,American Wigeon
Mareca falcata,Mareca falcata,Bird,Falcated Duck,Falcated Duck
Mareca penelope,Mareca penelope,Bird,Wigeon,Wigeon
Mareca strepera,Mareca strepera,Bird,Gadwall,Gadwall
Megaceryle alcyon,Megaceryle alcyon,Bird,Belted Kingfisher,Belted Kingfisher
Melanitta americana,Melanitta americana,Bird,Black Scoter,Black Scoter
Melanitta deglandi,Melanitta deglandi,Bird,White-winged Scoter,White-winged Scoter
Melanitta fusca,Melanitta fusca,Bird,Velvet Scoter,Velvet Scoter
Melanitta nigra,Melanitta nigra,Bird,Common Scoter,Common Scoter
Melanitta perspicillata,Melanitta perspicillata,Bird,Surf Scoter,Surf Scoter
Melanocorypha bimaculata,Melanocorypha bimaculata,Bird,Bimaculated Lark,Bimaculated Lark
Melanocorypha calandra,Melanocorypha calandra,Bird,Calandra Lark,Calandra Lark
Melospiza melodia,Melospiza melodia,Bird,Song Sparrow,Song Sparrow
Mergellus albellus,Mergellus albellus,Bird,Smew,Smew
Mergus merganser,Mergus merganser,Bird,Goosander,Goosander
Mergus serrator,Mergus serrator,Bird,Red-breasted Merganser,Red-breasted Merganser
Merops apiaster,Merops apiaster,Bird,Bee-eater,Bee-eater
Merops persicus,Merops persicus,Bird,Blue-cheeked Bee-eater,Blue-cheeked Bee-eater
Milvus migrans,Milvus migrans,Bird,Black Kite,Black Kite
Milvus milvus,Milvus milvus,Bird,Red Kite,Red Kite
Mniotilta varia,Mniotilta varia,Bird,Black-and-white Warbler,Black-and-white Warbler
Molothrus ater,Molothrus ater,Bird,Brown-headed Cowbird,Brown-headed Cowbird
Monticola saxatilis,Monticola saxatilis,Bird,Rock Thrush,Rock Thrush
Monticola solitarius,Monticola solitarius,Bird,Blue Rock Thrush,Blue Rock Thrush
Morus bassanus,Morus bassanus,Bird,Gannet,Gannet
Motacilla alba,Motacilla alba,Bird,Pied Wagtail,Pied Wagtail
Motacilla cinerea,Motacilla cinerea,Bird,Grey Wagtail,Grey Wagtail
Motacilla citreola,Motacilla citreola,Bird,Citrine Wagtail,Citrine Wagtail
Motacilla flava,Motacilla flava,Bird,Yellow Wagtail,Yellow Wagtail
Motacilla tschutschensis,Motacilla tschutschensis,Bird,Eastern Yellow Wagtail,Eastern Yellow Wagtail
Muscicapa dauurica,Muscicapa dauurica,Bird,Asian Brown Flycatcher,Asian Brown Flycatcher
Muscicapa striata,Muscicapa striata,Bird,Spotted Flycatcher,Spotted Flycatcher
Netta rufina,Netta rufina,Bird,Red-crested Pochard,Red-crested Pochard
Nucifraga caryocatactes,Nucifraga caryocatactes,Bird,Nutcracker,Nutcracker
Numenius arquata,Numenius arquata,Bird,Curlew,Curlew
Numenius borealis,Numenius borealis,Bird,Eskimo Curlew,Eskimo Curlew
Numenius hudsonicus,Numenius hudsonicus,Bird,Hudsonian Whimbrel,Hudsonian Whimbrel
Numenius phaeopus,Numenius phaeopus,Bird,Whimbrel,Whimbrel
Numida meleagris,Numida meleagris,Bird,Helmeted Guineafowl,Helmeted Guineafowl
Nycticorax nycticorax,Nycticorax nycticorax,Bird,Night-heron,Night-heron
Oceanites oceanicus,Oceanites oceanicus,Bird,Wilsons Petrel,Wilsons Petrel
Oceanodroma leucorhoa,Oceanodroma leucorhoa,Bird,Leachs Petrel,Leachs Petrel
Oceanodroma monorhis,Oceanodroma monorhis,Bird,Swinhoes Petrel,Swinhoes Petrel
Oenanthe deserti,Oenanthe deserti,Bird,Desert Wheatear,Desert Wheatear
Oenanthe hispanica,Oenanthe hispanica,Bird,Western Black-eared Wheatear,Western Black-eared Wheatear
Oenanthe isabellina,Oenanthe isabellina,Bird,Isabelline Wheatear,Isabelline Wheatear
Oenanthe melanoleuca,Oenanthe melanoleuca,Bird,Eastern Black-eared Wheatear,Eastern Black-eared Wheatear
Oenanthe oenanthe,Oenanthe oenanthe,Bird,Wheatear,Wheatear
Oenanthe pleschanka,Oenanthe pleschanka,Bird,Pied Wheatear,Pied Wheatear
Onychoprion anaethetus,Onychoprion anaethetus,Bird,Bridled Tern,Bridled Tern
Onychoprion fuscatus,Onychoprion fuscatus,Bird,Sooty Tern,Sooty Tern
Oriolus oriolus,Oriolus oriolus,Bird,Golden Oriole,Golden Oriole
Otis tarda,Otis tarda,Bird,Great Bustard,Great Bustard
Otus scops,Otus scops,Bird,Scops Owl,Scops Owl
Oxyura jamaicensis,Oxyura jamaicensis,Bird,Ruddy Duck,Ruddy Duck
Pagophila eburnea,Pagophila eburnea,Bird,Ivory Gull,Ivory Gull
Pandion haliaetus,Pandion haliaetus,Bird,Osprey,Osprey
Panurus biarmicus,Panurus biarmicus,Bird,Bearded Tit,Bearded Tit
Parus major,Parus major,Bird,Great Tit,Great Tit
Passer domesticus,Passer domesticus,Bird,House Sparrow,House Sparrow
Passer hispaniolensis,Passer hispaniolensis,Bird,Spanish Sparrow,Spanish Sparrow
Passer montanus,Passer montanus,Bird,Tree Sparrow,Tree Sparrow
Passerculus sandwichensis,Passerculus sandwichensis,Bird,Savannah Sparrow,Savannah Sparrow
Pastor roseus,Pastor roseus,Bird,Rose-coloured Starling,Rose-coloured Starling
Pelagodroma marina,Pelagodroma marina,Bird,White-faced Storm Petrel,White-faced Storm Petrel
Perdix perdix,Perdix perdix,Bird,Grey Partridge,Grey Partridge
Periparus ater,Periparus ater,Bird,Coal Tit,Coal Tit
Periparus ater ater,Periparus ater ater,Bird,Continental Coal Tit,Continental Coal Tit
Pernis apivorus,Pernis apivorus,Bird,Honey-buzzard,Honey-buzzard
Petrochelidon pyrrhonota,Petrochelidon pyrrhonota,Bird,Cliff Swallow,Cliff Swallow
Phalacrocorax aristotelis,Phalacrocorax aristotelis,Bird,Shag,Shag
Phalacrocorax carbo,Phalacrocorax carbo,Bird,Cormorant,Cormorant
Phalacrocorax carbo sinensis,Phalacrocorax carbo sinensis,Bird,Southern Cormorant,Southern Cormorant
Phalaropus fulicarius,Phalaropus fulicarius,Bird,Grey Phalarope,Grey Phalarope
Phalaropus lobatus,Phalaropus lobatus,Bird,Red-necked Phalarope,Red-necked Phalarope
Phalaropus tricolor,Phalaropus tricolor,Bird,Wilsons Phalarope,Wilsons Phalarope
Phasianus colchicus,Phasianus colchicus,Bird,Pheasant,Pheasant
Pheucticus ludovicianus,Pheucticus ludovicianus,Bird,Rose-breasted Grosbeak,Rose-breasted Grosbeak
Phoenicopterus ruber,Phoenicopterus ruber,Bird,American Flamingo,American Flamingo
Phoenicurus ochruros,Phoenicurus ochruros,Bird,Black Redstart,Black Redstart
Phoenicurus phoenicurus,Phoenicurus phoenicurus,Bird,Redstart,Redstart
Phylloscopus bonelli,Phylloscopus bonelli,Bird,Western Bonellis Warbler,Western Bonellis Warbler
Phylloscopus borealis,Phylloscopus borealis,Bird,Arctic Warbler,Arctic Warbler
Phylloscopus collybita,Phylloscopus collybita,Bird,Chiffchaff,Chiffchaff
Phylloscopus fuscatus,Phylloscopus fuscatus,Bird,Dusky Warbler,Dusky Warbler
Phylloscopus humei,Phylloscopus humei,Bird,Humes Warbler,Humes Warbler
Phylloscopus ibericus,Phylloscopus ibericus,Bird,Iberian Chiffchaff,Iberian Chiffchaff
Phylloscopus inornatus,Phylloscopus inornatus,Bird,Yellow-browed Warbler,Yellow-browed Warbler
Phylloscopus nitidus,Phylloscopus nitidus,Bird,Green Warbler,Green Warbler
Phylloscopus orientalis,Phylloscopus orientalis,Bird,Eastern Bonellis Warbler,Eastern Bonellis Warbler
Phylloscopus plumbeitarsus,Phylloscopus plumbeitarsus,Bird,Two-barred Greenish Warbler,Two-barred Greenish Warbler
Phylloscopus proregulus,Phylloscopus proregulus,Bird,Pallass Warbler,Pallass Warbler
Phylloscopus schwarzi,Phylloscopus schwarzi,Bird,Raddes Warbler,Raddes Warbler
Phylloscopus sibilatrix,Phylloscopus sibilatrix,Bird,Wood Warbler,Wood Warbler
Phylloscopus trochiloides,Phylloscopus trochiloides,Bird,Greenish Warbler,Greenish Warbler
Phylloscopus trochilus,Phylloscopus trochilus,Bird,Willow Warbler,Willow Warbler
Pica pica,Pica pica,Bird,Magpie,Magpie
Picus viridis,Picus viridis,Bird,Green Woodpecker,Green Woodpecker
Pinguinus impennis,Pinguinus impennis,Bird,Great Auk,Great Auk
Pinicola enucleator,Pinicola enucleator,Bird,Pine Grosbeak,Pine Grosbeak
Piranga olivacea,Piranga olivacea,Bird,Scarlet Tanager,Scarlet Tanager
Platalea leucorodia,Platalea leucorodia,Bird,Spoonbill,Spoonbill
Plectrophenax nivalis,Plectrophenax nivalis,Bird,Snow Bunting,Snow Bunting
Plegadis falcinellus,Plegadis falcinellus,Bird,Glossy Ibis,Glossy Ibis
Pluvialis apricaria,Pluvialis apricaria,Bird,Golden Plover,Golden Plover
Pluvialis dominica,Pluvialis dominica,Bird,American Golden Plover,American Golden Plover
Pluvialis fulva,Pluvialis fulva,Bird,Pacific Golden Plover,Pacific Golden Plover
Pluvialis squatarola,Pluvialis squatarola,Bird,Grey Plover,Grey Plover
Podiceps auritus,Podiceps auritus,Bird,Slavonian Grebe,Slavonian Grebe
Podiceps cristatus,Podiceps cristatus,Bird,Great Crested Grebe,Great Crested Grebe
Podiceps grisegena,Podiceps grisegena,Bird,Red-necked Grebe,Red-necked Grebe
Podiceps nigricollis,Podiceps nigricollis,Bird,Black-necked Grebe,Black-necked Grebe
Podilymbus podiceps,Podilymbus podiceps,Bird,Pied-billed Grebe,Pied-billed Grebe
Poecile montanus,Poecile montanus,Bird,Willow Tit,Willow Tit
Poecile palustris,Poecile palustris,Bird,Marsh Tit,Marsh Tit
Polysticta stelleri,Polysticta stelleri,Bird,Stellers Eider,Stellers Eider
Porphyrio alleni,Porphyrio alleni,Bird,Allens Gallinule,Allens Gallinule
Porzana carolina,Porzana carolina,Bird,Sora Rail,Sora Rail
Porzana porzana,Porzana porzana,Bird,Spotted Crake,Spotted Crake
Procellaria aequinoctialis,Procellaria aequinoctialis,Bird,White-chinned Petrel,White-chinned Petrel
Progne subis,Progne subis,Bird,Purple Martin,Purple Martin
Prunella collaris,Prunella collaris,Bird,Alpine Accentor,Alpine Accentor
Prunella modularis,Prunella modularis,Bird,Dunnock,Dunnock
Prunella montanella,Prunella montanella,Bird,Siberian Accentor,Siberian Accentor
Psittacula krameri,Psittacula krameri,Bird,Ring-necked Parakeet,Ring-necked Parakeet
Ptyonoprogne rupestris,Ptyonoprogne rupestris,Bird,Crag Martin,Crag Martin
Puffinus baroli,Puffinus baroli,Bird,Barolo Shearwater,Barolo Shearwater
Puffinus mauretanicus,Puffinus mauretanicus,Bird,Balearic Shearwater,Balearic Shearwater
Puffinus puffinus,Puffinus puffinus,Bird,Manx Shearwater,Manx Shearwater
Pyrrhocorax pyrrhocorax,Pyrrhocorax pyrrhocorax,Bird,Chough,Chough
Pyrrhula pyrrhula,Pyrrhula pyrrhula,Bird,Bullfinch,Bullfinch
Pyrrhula pyrrhula pyrrhula,Pyrrhula pyrrhula pyrrhula,Bird,Pyrrhula pyrrhula pyrrhula,Pyrrhula pyrrhula pyrrhula
Rallus aquaticus,Rallus aquaticus,Bird,Water Rail,Water Rail
Recurvirostra avosetta,Recurvirostra avosetta,Bird,Avocet,Avocet
Regulus ignicapilla,Regulus ignicapilla,Bird,Firecrest,Firecrest
Regulus regulus,Regulus regulus,Bird,Goldcrest,Goldcrest
Rhodostethia rosea,Rhodostethia rosea,Bird,Rosss Gull,Rosss Gull
Riparia riparia,Riparia riparia,Bird,Sand Martin,Sand Martin
Rissa tridactyla,Rissa tridactyla,Bird,Kittiwake,Kittiwake
Saxicola maurus,Saxicola maurus,Bird,Siberian Stonechat,Siberian Stonechat
Saxicola rubetra,Saxicola rubetra,Bird,Whinchat,Whinchat
Saxicola rubicola,Saxicola rubicola,Bird,Stonechat,Stonechat
Saxicola stejnegeri,Saxicola stejnegeri,Bird,Stejnegers Stonechat,Stejnegers Stonechat
Scolopax rusticola,Scolopax rusticola,Bird,Woodcock,Woodcock
Seiurus aurocapilla,Seiurus aurocapilla,Bird,Ovenbird,Ovenbird
Serinus serinus,Serinus serinus,Bird,Serin,Serin
Setophaga aestiva,Setophaga aestiva,Bird,Yellow Warbler,Yellow Warbler
Setophaga americana,Setophaga americana,Bird,Northern Parula,Northern Parula
Setophaga citrina,Setophaga citrina,Bird,Hooded Warbler,Hooded Warbler
Setophaga coronata,Setophaga coronata,Bird,Yellow-rumped Warbler,Yellow-rumped Warbler
Setophaga fusca,Setophaga fusca,Bird,Blackburnian Warbler,Blackburnian Warbler
Setophaga magnolia,Setophaga magnolia,Bird,Magnolia Warbler,Magnolia Warbler
Setophaga pensylvanica,Setophaga pensylvanica,Bird,Chestnut-sided Warbler,Chestnut-sided Warbler
Setophaga ruticilla,Setophaga ruticilla,Bird,American Redstart,American Redstart
Setophaga striata,Setophaga striata,Bird,Blackpoll Warbler,Blackpoll Warbler
Setophaga tigrina,Setophaga tigrina,Bird,Cape May Warbler,Cape May Warbler
Sibirionetta formosa,Sibirionetta formosa,Bird,Baikal Teal,Baikal Teal
Sitta europaea,Sitta europaea,Bird,Nuthatch,Nuthatch
Somateria mollissima,Somateria mollissima,Bird,Eider,Eider
Somateria mollissima mollissima,Somateria mollissima mollissima,Bird,Somateria mollissima mollissima,Somateria mollissima mollissima
Somateria spectabilis,Somateria spectabilis,Bird,King Eider,King Eider
Spatula clypeata,Spatula clypeata,Bird,Shoveler,Shoveler
Spatula discors,Spatula discors,Bird,Blue-winged Teal,Blue-winged Teal
Spatula querquedula,Spatula querquedula,Bird,Garganey,Garganey
Spinus spinus,Spinus spinus,Bird,Siskin,Siskin
Stercorarius longicaudus,Stercorarius longicaudus,Bird,Long-tailed Skua,Long-tailed Skua
Stercorarius parasiticus,Stercorarius parasiticus,Bird,Arctic Skua,Arctic Skua
Stercorarius pomarinus,Stercorarius pomarinus,Bird,Pomarine Skua,Pomarine Skua
Stercorarius skua,Stercorarius skua,Bird,Great Skua,Great Skua
Sterna dougallii,Sterna dougallii,Bird,Roseate Tern,Roseate Tern
Sterna forsteri,Sterna forsteri,Bird,Forsters Tern,Forsters Tern
Sterna hirundo,Sterna hirundo,Bird,Common Tern,Common Tern
Sterna paradisaea,Sterna paradisaea,Bird,Arctic Tern,Arctic Tern
Sternula albifrons,Sternula albifrons,Bird,Little Tern,Little Tern
Stictotarsus duodecimpustulatus,Stictotarsus duodecimpustulatus,Bird,Stictotarsus duodecimpustulatus,Stictotarsus duodecimpustulatus
Streptopelia decaocto,Streptopelia decaocto,Bird,Collared Dove,Collared Dove
Streptopelia orientalis,Streptopelia orientalis,Bird,Oriental Turtle Dove,Oriental Turtle Dove
Streptopelia turtur,Streptopelia turtur,Bird,Turtle Dove,Turtle Dove
Strix aluco,Strix aluco,Bird,Tawny Owl,Tawny Owl
Sturnus vulgaris,Sturnus vulgaris,Bird,Starling,Starling
Surnia ulula,Surnia ulula,Bird,Hawk Owl,Hawk Owl
Sylvia atricapilla,Sylvia atricapilla,Bird,Blackcap,Blackcap
Sylvia borin,Sylvia borin,Bird,Garden Warbler,Garden Warbler
Sylvia hortensis/Sylvia crassirostris,Sylvia hortensis/Sylvia crassirostris,Bird,Western Orphean Warbler or Eastern Orphean Warbler,Western Orphean Warbler or Eastern Orphean Warbler
Symphodus melops,Symphodus melops,Bird,Corkwing Wrasse,Corkwing Wrasse
Syrmaticus reevesii,Syrmaticus reevesii,Bird,Reevess Pheasant,Reevess Pheasant
Syrrhaptes paradoxus,Syrrhaptes paradoxus,Bird,Pallass Sandgrouse,Pallass Sandgrouse
Tachybaptus ruficollis,Tachybaptus ruficollis,Bird,Little Grebe,Little Grebe
Tachycineta bicolor,Tachycineta bicolor,Bird,Tree Swallow,Tree Swallow
Tachymarptis melba,Tachymarptis melba,Bird,Alpine Swift,Alpine Swift
Tadorna ferruginea,Tadorna ferruginea,Bird,Ruddy Shelduck,Ruddy Shelduck
Tadorna tadorna,Tadorna tadorna,Bird,Shelduck,Shelduck
Tarsiger cyanurus,Tarsiger cyanurus,Bird,Red-flanked Bluetail,Red-flanked Bluetail
Tetrao urogallus,Tetrao urogallus,Bird,Capercaillie,Capercaillie
Tetrax tetrax,Tetrax tetrax,Bird,Little Bustard,Little Bustard
Thalassarche melanophris,Thalassarche melanophris,Bird,Black-browed Albatross,Black-browed Albatross
Thalasseus bengalensis,Thalasseus bengalensis,Bird,Lesser Crested Tern,Lesser Crested Tern
Thalasseus maximus,Thalasseus maximus,Bird,Royal Tern,Royal Tern
Thalasseus sandvicensis,Thalasseus sandvicensis,Bird,Sandwich Tern,Sandwich Tern
Threskiornis aethiopicus,Threskiornis aethiopicus,Bird,African sacred ibis,African sacred ibis
Tringa brevipes,Tringa brevipes,Bird,Grey-tailed Tattler,Grey-tailed Tattler
Tringa erythropus,Tringa erythropus,Bird,Spotted Redshank,Spotted Redshank
Tringa flavipes,Tringa flavipes,Bird,Lesser Yellowlegs,Lesser Yellowlegs
Tringa glareola,Tringa glareola,Bird,Wood Sandpiper,Wood Sandpiper
Tringa melanoleuca,Tringa melanoleuca,Bird,Greater Yellowlegs,Greater Yellowlegs
Tringa nebularia,Tringa nebularia,Bird,Greenshank,Greenshank
Tringa ochropus,Tringa ochropus,Bird,Green Sandpiper,Green Sandpiper
Tringa solitaria,Tringa solitaria,Bird,Solitary Sandpiper,Solitary Sandpiper
Tringa stagnatilis,Tringa stagnatilis,Bird,Marsh Sandpiper,Marsh Sandpiper
Tringa totanus,Tringa totanus,Bird,Redshank,Redshank
Tringa totanus totanus,Tringa totanus totanus,Bird,Tringa totanus totanus,Tringa totanus totanus
Troglodytes troglodytes,Troglodytes troglodytes,Bird,Wren,Wren
Turdus atrogularis,Turdus atrogularis,Bird,Black-throated Thrush,Black-throated Thrush
Turdus eunomus,Turdus eunomus,Bird,Dusky Thrush,Dusky Thrush
Turdus iliacus,Turdus iliacus,Bird,Redwing,Redwing
Turdus merula,Turdus merula,Bird,Blackbird,Blackbird
Turdus migratorius,Turdus migratorius,Bird,American Robin,American Robin
Turdus obscurus,Turdus obscurus,Bird,Eyebrowed Thrush,Eyebrowed Thrush
Turdus philomelos,Turdus philomelos,Bird,Song Thrush,Song Thrush
Turdus pilaris,Turdus pilaris,Bird,Fieldfare,Fieldfare
Turdus torquatus,Turdus torquatus,Bird,Ring Ouzel,Ring Ouzel
Turdus viscivorus,Turdus viscivorus,Bird,Mistle Thrush,Mistle Thrush
Tyrannus tyrannus,Tyrannus tyrannus,Bird,Eastern Kingbird,Eastern Kingbird
Tyto alba,Tyto alba,Bird,Barn Owl,Barn Owl
Upupa epops,Upupa epops,Bird,Hoopoe,Hoopoe
Uria aalge,Uria aalge,Bird,Common Guillemot,Common Guillemot
Uria lomvia,Uria lomvia,Bird,Brünnichs Guillemot,Brünnichs Guillemot
Vanellus gregarius,Vanellus gregarius,Bird,Sociable Plover,Sociable Plover
Vanellus leucurus,Vanellus leucurus,Bird,White-tailed Plover,White-tailed Plover
Vanellus vanellus,Vanellus vanellus,Bird,Lapwing,Lapwing
Vireo olivaceus,Vireo olivaceus,Bird,Red-eyed Vireo,Red-eyed Vireo
Xema sabini,Xema sabini,Bird,Sabines Gull,Sabines Gull
Xenus cinereus,Xenus cinereus,Bird,Terek Sandpiper,Terek Sandpiper
Zapornia parva,Zapornia parva,Bird,Little Crake,Little Crake
Zapornia pusilla,Zapornia pusilla,Bird,Baillons Crake,Baillons Crake
Zenaida macroura,Zenaida macroura,Bird,Mourning Dove,Mourning Dove
Zonotrichia albicollis,Zonotrichia albicollis,Bird,White-throated Sparrow,White-throated Sparrow
Zonotrichia leucophrys,Zonotrichia leucophrys,Bird,White-crowned Sparrow,White-crowned Sparrow
Zoothera aurea,Zoothera aurea,Bird,Whites Thrush,Whites Thrush
Campodea fragilis,Campodea fragilis,Bristletail,Campodea fragilis,Campodea fragilis
Campodea plusiochaeta,Campodea plusiochaeta,Bristletail,Campodea plusiochaeta,Campodea plusiochaeta
Celleporella hyalina,Celleporella hyalina,Bryozoa,Celleporella hyalina,Celleporella hyalina
Diphasia alata,Diphasia alata,Bryozoa,Diphasia alata,Diphasia alata
Electra pilosa,Electra pilosa,Bryozoa,Electra pilosa,Electra pilosa
Flustra foliacea,Flustra foliacea,Bryozoa,Hornwrack,Hornwrack
Membranipora membranacea,Membranipora membranacea,Bryozoa,Sea Mat,Sea Mat
Watersipora arcuata,Watersipora arcuata,Bryozoa,Byrozoan,Byrozoan
Watersipora subatra,Watersipora subatra,Bryozoa,Bryozoan species,Bryozoan species
Anthophora furcata,Anthophora furcata,Bumble bee,Fork-tailed Flower Bee,Fork-tailed Flower Bee
Bombus terrestris,Bombus terrestris,Bumble bee,Buff-tailed Bumblebee,Buff-tailed Bumblebee
Apis mellifera,Apis mellifera,Bumblebee,Western Honey Bee,Western Honey Bee
Bombus barbutellus,Bombus barbutellus,Bumblebee,Barbuts Cuckoo-bee,Barbuts Cuckoo-bee
Bombus bohemicus,Bombus bohemicus,Bumblebee,Gypsy Cuckoo-bee,Gypsy Cuckoo-bee
Bombus campestris,Bombus campestris,Bumblebee,Field Cuckoo-bee,Field Cuckoo-bee
Bombus cryptarum,Bombus cryptarum,Bumblebee,Cryptic Bumblebee,Cryptic Bumblebee
Bombus distinguendus,Bombus distinguendus,Bumblebee,Great Yellow Bumblebee,Great Yellow Bumblebee
Bombus hortorum,Bombus hortorum,Bumblebee,Garden Bumblebee,Garden Bumblebee
Bombus hypnorum,Bombus hypnorum,Bumblebee,Tree Bumblebee,Tree Bumblebee
Bombus jonellus,Bombus jonellus,Bumblebee,Heath Bumblebee,Heath Bumblebee
Bombus lapidarius,Bombus lapidarius,Bumblebee,Red-tailed Bumblebee,Red-tailed Bumblebee
Bombus lucorum,Bombus lucorum,Bumblebee,White-tailed Bumblebee,White-tailed Bumblebee
Bombus magnus,Bombus magnus,Bumblebee,Northern White-tailed Bumblebee,Northern White-tailed Bumblebee
Bombus monticola,Bombus monticola,Bumblebee,Bilberry Bumblebee,Bilberry Bumblebee
Bombus muscorum,Bombus muscorum,Bumblebee,Moss Carder Bee,Moss Carder Bee
